,slice_0,slice_1,slice_2,slice_3,slice_4,slice_5,slice_6,slice_7,slice_8,slice_9,slice_10,slice_11,slice_12,slice_13,slice_14,slice_15,slice_16,slice_17,slice_18,slice_19,slice_20,slice_21,slice_22,slice_23,slice_24,slice_25,slice_26,slice_27,slice_28,slice_29,slice_30,slice_31,slice_32,slice_33,slice_34,slice_35,slice_36,slice_37,slice_38,slice_39,slice_40,slice_41,slice_42,slice_43,slice_44,slice_45,slice_46,slice_47,slice_48,slice_49,slice_50,slice_51,slice_52,slice_53,slice_54,slice_55,slice_56,slice_57,slice_58,slice_59,slice_60,slice_61,slice_62,slice_63,slice_64,slice_65,slice_66,slice_67,slice_68,slice_69,slice_70,slice_71,slice_72,slice_73,slice_74,slice_75,slice_76,slice_77,slice_78,slice_79,slice_80,slice_81,slice_82,slice_83,slice_84,slice_85,slice_86,slice_87,slice_88,slice_89,slice_90,slice_91,slice_92,slice_93,slice_94,slice_95,slice_96,slice_97,slice_98,slice_99,slice_100,slice_101,slice_102,slice_103,slice_104,slice_105,slice_106,slice_107,slice_108,slice_109,slice_110,slice_111,slice_112,slice_113,slice_114,slice_115,slice_116,slice_117,slice_118,slice_119,slice_120,slice_121,slice_122,slice_123,slice_124,slice_125,slice_126,slice_127,slice_128,slice_129,slice_130,slice_131,slice_132,slice_133,slice_134,slice_135,slice_136,slice_137,slice_138,slice_139,slice_140,slice_141,slice_142,slice_143,slice_144,slice_145,slice_146,slice_147,slice_148,slice_149,slice_150,slice_151,slice_152,slice_153,slice_154,slice_155,slice_156,slice_157,slice_158,slice_159,slice_160,slice_161,slice_162,slice_163,slice_164,slice_165,slice_166,slice_167,slice_168,slice_169,slice_170,slice_171,slice_172,slice_173,slice_174,slice_175,slice_176,slice_177,slice_178,slice_179,slice_180,slice_181,slice_182,slice_183,slice_184,slice_185,slice_186,slice_187,slice_188,slice_189,slice_190,slice_191,slice_192,slice_193,slice_194,slice_195,slice_196,slice_197,slice_198,slice_199,slice_200,slice_201,slice_202,slice_203,slice_204,slice_205,slice_206,slice_207,slice_208,slice_209,slice_210,slice_211,slice_212,slice_213,slice_214,slice_215,slice_216,slice_217
OAS1_0001_MR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9600364061717859,0.9720090626192475,0.9387638096625837,0.904236271684579,0.870634285602055,0.8919041047854375,0.9231809198966588,0.9128653127441747,0.9203296298285759,0.9192377029331207,0.9126545507315907,0.9090935649853432,0.909449969157161,0.9020445119962183,0.9212173668154208,0.9384831814160634,0.962317926416598,0.9717429875175263,0.9396216339852951,0.9123944864407795,0.8638352878405341,0.816282018040262,0.7954522280220664,0.8063715792148993,0.8030210857838076,0.8380904192039667,0.884515312999471,0.9223571801950535,0.9405291342528236,0.9180846384134513,0.85434946672634,0.7927182440800838,0.7369909141674944,0.6984420491446269,0.6773379976427785,0.6861148490198021,0.7069505329395332,0.7140488679419532,0.7400884623313425,0.7359155380985313,0.6947534351128368,0.6350771076515436,0.5987839823755007,0.5835795965866297,0.6185561496644161,0.6521842213739728,0.6882643101504868,0.70716777306814,0.7179231736388704,0.6938329983690271,0.6648408754173946,0.6424908944683861,0.6234090025105199,0.6125391631162707,0.6127718645427679,0.6340559142656249,0.6596376064417809,0.6943667102229399,0.7160257894628036,0.7099632921371601,0.693959234665713,0.6955914627529102,0.6849789654806532,0.6689145662207908,0.6697118646692852,0.6769462208479538,0.6826491945396327,0.6860762613791612,0.6771605268300691,0.6683207953603982,0.6712970876152966,0.664619658254344,0.6634910232025388,0.6447689598515005,0.6348428647954237,0.6260489876563523,0.6378472436322007,0.6520757452884444,0.6673679272858801,0.691092255281527,0.7127005437366014,0.7118889412702198,0.7023234873795345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAS1_0002_MR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8203142800522368,0.7867272992947568,0.7950285025394878,0.7896022204040019,0.7639675579625589,0.771242641643023,0.7756575904479204,0.7562945920202871,0.7550112468267616,0.8171420538356718,0.8114573794855118,0.8228681657060806,0.8419039998123079,0.8692116115133564,0.8968544884810042,0.9146792012105103,0.9396629065139791,0.9483070900308337,0.9350263363347752,0.9298220840397314,0.9253631995502646,0.896535490567135,0.884080469794169,0.8734128760501301,0.8848476970112705,0.9072627392050343,0.942154262414455,0.9671409653743728,0.9695213669227296,0.9406108730269355,0.8956168566132309,0.8355077837546294,0.7967359051375673,0.7844579287224391,0.7913803062988782,0.7979481486141877,0.8128776530142063,0.829360519648345,0.8243893506515225,0.8205186141155077,0.8172975531965347,0.8194792194278111,0.8386484804171827,0.8769757148782563,0.9135816872320172,0.935946846047343,0.9530453041004143,0.9506279967298797,0.9387602785186561,0.9244156571995172,0.9132986086052166,0.903101778617147,0.9115503358935532,0.9276702220189019,0.9406680900719027,0.9575779552699976,0.9718409263652211,0.9933670876176918,1.0009393012664685,0.9952008701974204,0.9839342458312933,0.95478737913304,0.9201765031993459,0.907737176127004,0.8982297952229974,0.896244192371634,0.8886035945432034,0.9208846033175443,0.9570064266377232,0.9614797878638748,0.9485899715505667,0.9030817058856915,0.883342860509864,0.8730650391890434,0.8846367377817903,0.894267557905031,0.9163717162437336,0.9271168823492397,0.9318319540797899,0.9392693970950385,0.9429987745784426,0.9430115905235253,0.9381388523084075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAS1_0003_MR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9440667830326381,0.9314819889390378,0.947862446553106,0.9216011635584427,0.8936302504164526,0.8964307356663824,0.8758780118963865,0.8616147526570738,0.8287418762674961,0.8121791289758911,0.8075083352697572,0.8071328698072959,0.8280979452323824,0.8816914267291597,0.893475175195887,0.9371756399146282,0.9523367860027291,0.9765759083355077,0.9913351006528126,1.0198383132796105,1.0114871544908444,0.9946991371442204,0.9517969507631769,0.906535178608392,0.8748771746817321,0.8587235156711028,0.845734505391996,0.857887777266042,0.8675146803749095,0.8641415558312755,0.8396687851822284,0.8189940912388216,0.7985890265327722,0.7760577450129298,0.7571115489657758,0.7641693686038341,0.7671255880087231,0.771524215965983,0.7811519872424622,0.7736374569658552,0.768394954431474,0.7639293023104056,0.7485622917358287,0.7084579383577602,0.6773734383922128,0.6486689085988148,0.6513972240981376,0.6458527585137721,0.6530134660637955,0.6671162464110231,0.686884221251979,0.7151252399414751,0.7481652116159694,0.7656235466049204,0.7833459914331277,0.7942989757450286,0.7977787787967692,0.8071304778419448,0.8188344014907949,0.816280731882534,0.8141346915720018,0.8121201369451124,0.7931725577529126,0.7749752563881424,0.7800576635521846,0.77747312041087,0.7394345777525684,0.7342873020415615,0.7413258726315524,0.7447941546934042,0.7363806581952491,0.7227478340291938,0.7098399596775588,0.717787060289596,0.7426345731488863,0.757235096078637,0.7469849057869564,0.7400735301760185,0.7353915626575884,0.7257808688357666,0.7383414892697989,0.7631451719422222,0.7743475027803303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAS1_0004_MR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8981295777674536,0.8834579618477131,0.9192325181032199,0.9181793723733167,0.9185973400094601,0.924061809066843,0.9448568644165863,0.9357451385699683,0.9296260180191301,0.9263691672875451,0.9234727741433941,0.9182335495426551,0.9130479165099002,0.900306371041789,0.9244276008774983,0.9255545304271198,0.9246669250037985,0.9039396846620481,0.9044937165650541,0.9186468488875026,0.9286940938483789,0.9342712829771646,0.9130050803853956,0.8919692353895595,0.894130721768948,0.9175012045949912,0.9358595537103451,0.96139531663604,0.9836488548979279,1.0045590835407219,1.0179093863331257,1.005784574319194,0.9863133018202623,0.9614901117912213,0.9417739314677028,0.9217423130566735,0.8930838745024234,0.8471390913615797,0.8055876544446896,0.7691214698699423,0.7752812344050646,0.796298915549406,0.8242889519365164,0.8503994745084344,0.855508090470411,0.8573718740259552,0.8420154602011571,0.8442714704447913,0.8296538457740591,0.8140129018822722,0.8024046221087948,0.7943893719511197,0.7881440178708407,0.7893255838283219,0.8012466369025962,0.8163877472571656,0.8412511071116422,0.8735340089934247,0.8891557280916759,0.8873174966236091,0.8878582373046349,0.8860708785104424,0.8751439687966688,0.8876649556662454,0.8890781440733225,0.8860655516178341,0.8663265457025422,0.8464754355983548,0.8169133096697825,0.8030625684030123,0.8071870791928374,0.818215577359695,0.824105235476118,0.8351164239938372,0.8571563736097256,0.8755118866150172,0.8911104496597186,0.8876812957935362,0.8763772758919636,0.8682871637444294,0.8588903042508987,0.8616806131221236,0.8595951231197337,0.8438426201457715,0.8520390985760267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAS1_0005_MR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.862780677936848,0.8862510163576762,0.9259122828534159,0.9113847984242145,0.8928862283223614,0.8898615938738624,0.9090735852751972,0.8638698388010924,0.8372781029000054,0.8131417020638023,0.7995567649513311,0.7690780620813001,0.7539827537211498,0.7992635778368985,0.8365264026467079,0.8623562505666772,0.9116731488095209,0.9293054552440975,0.9375385085256531,0.9027567184609424,0.8753429284618583,0.8557525478551223,0.8660850469664076,0.8891269937074132,0.906492463833109,0.9285033737143268,0.9580016818024574,0.9704463490259998,0.9713772975059297,0.9566444827865842,0.9454269122908091,0.9428314990934478,0.933023219076492,0.9158124854598899,0.8870771055101785,0.8641992312591469,0.8513411728940689,0.8261458255782522,0.8188595818913174,0.8317412896710928,0.8407753388473397,0.8666191272020509,0.8918515195557717,0.879393211824333,0.8625435154221438,0.8515629270141765,0.8385181866245295,0.8349056854304667,0.8355216272997038,0.8364932421325322,0.8458366080044575,0.8455858850992016,0.8512760366944628,0.8701250302541288,0.8885794152731156,0.8994925747081308,0.913115214423249,0.9159669496332427,0.9364832587468733,0.953520065897813,0.9599963415647611,0.9645611053276122,0.9577555655536911,0.9325337548747279,0.917830428204777,0.8974550267943404,0.8976535012490949,0.8807675875861618,0.8717361813230072,0.8921559540376749,0.8998361193248384,0.9036761057680384,0.8872839657868563,0.8877871691819862,0.8838250688530842,0.8925399134913494,0.9130660894984609,0.9267548600622464,0.9339476605256746,0.9342952084594252,0.9201418040106354,0.9124752257387676,0.9103785581986223,0.9263142855753361,0.9381815425866143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAS1_0006_MR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8055505489326122,0.8053880564068117,0.8033213305247103,0.7783392244035704,0.7573514574885548,0.7600120608852571,0.7510229374650764,0.7085622572227963,0.7037470090137995,0.7522315558732434,0.782207180393027,0.8125682015819452,0.8463122024464854,0.8603441868046697,0.8588098058424847,0.8802745684091653,0.8806486439474457,0.8864080314681871,0.8842483490414231,0.8916069950587723,0.9070630915660194,0.8936566857505321,0.8903852644702693,0.8925492979720755,0.9066513530909924,0.9255448494280457,0.9518259857715271,0.9753941086651329,0.982253705485147,0.9642193029415645,0.9530723123708048,0.934869707257147,0.9276742220582415,0.8948614259236802,0.8818190436461645,0.8596091150393996,0.8381782568354016,0.8053344752556335,0.7977392135545949,0.7955463332906201,0.8313084455671336,0.8722405187699253,0.9011415143358695,0.8980141714795323,0.8763889028559232,0.8453685358001369,0.8280263287997532,0.8025004530394333,0.8062402402844773,0.8175447955879868,0.8369737855505139,0.8620820014497887,0.8911500097825509,0.921604666127768,0.9462186553777596,0.9677455005026273,0.970791923087472,0.9757651720445301,0.9763406124489272,0.9771245428218435,0.9887274136558505,0.9815628983872794,0.9599076393930713,0.9474563140854131,0.9381388398631025,0.8872233399599383,0.8370837585259915,0.8301996416732157,0.8229208840833449,0.7837970286205156,0.7716839603729767,0.7987146735486922,0.8201828460190392,0.8324735670557251,0.8445789356872051,0.8358323501082493,0.8268351508545451,0.8054243181105571,0.8013918834701598,0.8050095462570902,0.8103854606444555,0.8108108658238631,0.8064003024243929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAS1_0007_MR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8338116314868967,0.8077552977153963,0.820875267196076,0.8009646527827149,0.7941227643864506,0.8072695876482616,0.8312310101924263,0.8220334563334495,0.8017662768415496,0.836875371468999,0.8305937827812211,0.8336547419400675,0.8556007082633644,0.8944441562678959,0.9059044508853586,0.9047263974694862,0.8964393844428725,0.8808192444820222,0.8736240376798614,0.8796700196270519,0.8832021338430274,0.8934105296481184,0.9183472063107636,0.9425591233133833,0.9582535584617382,0.9641330391777508,0.9502697293658943,0.9364928210157323,0.9563013679670955,0.9781902989959188,0.9937038549050817,0.9884735297309163,0.9549435450002433,0.9161183577223622,0.89428129871476,0.8962699532202432,0.8948851182448938,0.875283108201654,0.8514011850012908,0.8260412693323355,0.8306813949810853,0.8404036185702465,0.8621128056098621,0.869482017469657,0.8871008509169037,0.9053637916022772,0.9206508706344688,0.9310138284567897,0.9334800152034887,0.9186322193655515,0.9013447328211963,0.8970167756097894,0.8916648971955206,0.899514840485102,0.9067000014085042,0.9066399885303976,0.9129473306185232,0.9161746716382845,0.9031702076619786,0.8875979243696205,0.8682758834564158,0.8828399169467209,0.8763458415516179,0.871662975221824,0.8940313598857909,0.9069836787653311,0.9461545146794936,0.9585455108466814,0.9438011907533512,0.9465481792846917,0.9537640120498131,0.9445546151059988,0.9119751478295347,0.8649972767870067,0.8396256734989573,0.8297916045329118,0.859900133023022,0.8741178206787193,0.8820542074136284,0.8782876350184775,0.8848307646717852,0.8964561468717989,0.9173827125016719,0.920872276577317,0.8984501954706335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAS1_0009_MR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.913903986221791,0.9244290447672348,0.9136403464243014,0.8939211894827056,0.8626598785461241,0.8535282513738928,0.8536926445040847,0.8685073654777005,0.8342424443214831,0.8315552348274595,0.8330604664824035,0.8145609878209411,0.8124844424717689,0.8326998762684124,0.8565635524884693,0.8732378200578967,0.8853219963600499,0.9146439232868124,0.9176277232758182,0.9179018492579571,0.9386937648241384,0.9907218084219963,0.9952441380061647,0.9881038443322386,0.9676486304627906,0.9592904385548319,0.9455015992242835,0.9465221898937349,0.9580368146264497,0.9579947189533619,0.9403086251040105,0.9228407597990711,0.899416411265937,0.914430092301411,0.9238995185922177,0.9343926684643421,0.9121006008260301,0.8845107958446949,0.820215237529979,0.7605073454489107,0.7380823098460794,0.7347119523267408,0.7368880417653269,0.7458428245550484,0.7599369560349949,0.7778913132109398,0.7933731030721803,0.8282074668884488,0.861958535250281,0.8773591309287927,0.8940944377843313,0.879479364274241,0.8537635877587619,0.8116905221840867,0.7829423133624459,0.76825203475712,0.77501501672987,0.7838058320988678,0.8244433823067998,0.8708316343367108,0.9110354141719578,0.925862691610368,0.926280259979437,0.9203733914891525,0.9008732271240024,0.8644409601411681,0.8622937100254764,0.8399485846410752,0.863298630654753,0.8868692401658765,0.8910943419094507,0.8751035374900495,0.8770313387725674,0.9172653506301865,0.9302416871665359,0.9207221021163569,0.894658467768189,0.8763890054172183,0.8742712875713059,0.8625176899260066,0.8512843472620402,0.8649044953100277,0.8791296023324445,0.8876618757119369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAS1_0010_MR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8803455752659114,0.9134573910119286,0.9413989126337636,0.8998306691631455,0.890038205042887,0.9072706037236825,0.9116933207995574,0.8924143138868907,0.8903269165904366,0.8831862314288347,0.8574421656732248,0.8338586975355109,0.830641405907348,0.8323530277089852,0.898552802679714,0.9286232524264617,0.9495810429880926,0.9509767431140708,0.9576427089528143,0.9414986286954262,0.9378726097817704,0.9200144246203545,0.887178065074266,0.8601731238382284,0.842120326566611,0.8422505265080211,0.8770422990983293,0.8926762905899918,0.877227241008079,0.8729372426878864,0.8685610045899281,0.8494958996278236,0.8406879144749377,0.8380208331445781,0.834969191381002,0.8186585267560519,0.8060413806828353,0.8143544522400176,0.8390969408231643,0.8328792749799505,0.8017898353447452,0.7515121390851309,0.7066749166858816,0.6918279321985282,0.6723149960390336,0.6662303120648935,0.6677920957686332,0.6795266431396703,0.7036032194785871,0.7263920074140061,0.7435409179705186,0.7676055342500943,0.7931165320571537,0.8074665206567824,0.8067177680449561,0.7919410508619954,0.7655152580108281,0.7348643219963384,0.7245479219755594,0.7145016548453075,0.7222051118123846,0.7423472141983297,0.7668892915701153,0.7840162055622061,0.7747357835690323,0.7670086206390764,0.7771527468733929,0.7873769829375197,0.7719368594264092,0.7212479567636818,0.6915237446371127,0.6837494082420332,0.6809868307263642,0.6979589780403805,0.692336705326363,0.6948544715962828,0.7111308732183067,0.7072611608295613,0.7002588671673461,0.6704130272258596,0.6595065566053588,0.662298736244281,0.6896866109796155,0.7026351062231169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAS1_0011_MR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8513145632396626,0.845847086843858,0.8484201482207063,0.8303510611892845,0.7791489576453017,0.7843540687195899,0.7758669015142111,0.7439728814841045,0.7516836419478081,0.8028450683491255,0.8319589446754558,0.8879072511267595,0.9047579980554713,0.9096600276900614,0.9031382193923886,0.8920889110062717,0.8956461415716196,0.8943230417191241,0.8949663959159768,0.892630776564936,0.890337034204903,0.8853338330798087,0.8754574600357256,0.86456178139584,0.8909122761145273,0.9129772787080978,0.9441438064477549,0.9791888150134272,1.0089809682826847,1.0448298224847543,1.0374565187580136,1.0231211082008003,0.9902247338026696,0.9393891526353056,0.9093136576797247,0.8714069163890916,0.8626716848943372,0.8397966444678087,0.8083582791055417,0.8130357676361657,0.853059197622759,0.8820019959927861,0.8953441354341959,0.8923371663141461,0.8713006694636891,0.8478120276146969,0.833640731253144,0.820136521975523,0.8043793037911526,0.8005691532426598,0.801607134977046,0.8078713425373796,0.8349295451662853,0.8718874615805797,0.9154283079847794,0.9309422966184598,0.9383972010145248,0.9510052223709462,0.9663855623162265,0.9729467100370957,0.978940116720256,0.9563549642600269,0.9457943514130626,0.9289412461752501,0.9067242788296631,0.8626668243404615,0.834333215758101,0.8326012831096085,0.8622238146817336,0.8904824312228139,0.8978349029190473,0.8866954829008088,0.8591657782836777,0.8592924706945176,0.8699371926919711,0.8553208560571863,0.83900714751018,0.8163586103568843,0.8044912034583227,0.804105732601902,0.8264376328284474,0.8443575950350015,0.8584041294635736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
