,train_accuracy,test_accuracy,train_f1_macro,test_f1_macro,train_mcc,test_mcc,model,rebalance_type
0,0.7258064516129032,0.5531914893617021,0.6770623697160429,0.4584564860426929,0.5214151554284375,0.19725486651333685,sgd,over_smote
1,0.7311827956989247,0.574468085106383,0.6924389941781245,0.49764137539073605,0.5557233563169758,0.3159400513789769,sgd,over_smote
2,0.7043010752688172,0.5319148936170213,0.6428571428571428,0.43907563025210083,0.4932295580943001,0.18646578133145783,sgd,over_smote
3,0.6898395721925134,0.43478260869565216,0.6459699728735261,0.3710826210826211,0.5090318065189158,0.09522334144153552,sgd,over_smote
4,0.7807486631016043,0.6086956521739131,0.7597871708204881,0.4693602693602694,0.6278509526024039,0.28213889087236094,sgd,over_smote
0,0.5645161290322581,0.5106382978723404,0.46928248820828483,0.389725616494585,0.2941695881333291,0.20995399823404914,svc,over_smote
1,0.5483870967741935,0.6170212765957447,0.44056806422397815,0.5427208996121134,0.24063303079040047,0.33255732417990547,svc,over_smote
2,0.5591397849462365,0.46808510638297873,0.46509472549812014,0.42512077294685985,0.29597294335954644,0.20478604551629548,svc,over_smote
3,0.5347593582887701,0.5,0.4754971535357251,0.4257309941520468,0.2815913126088365,0.21218374051954597,svc,over_smote
4,0.5347593582887701,0.5217391304347826,0.504421136967843,0.387037037037037,0.29991054367191705,0.22425276967221344,svc,over_smote
0,0.4838709677419355,0.425531914893617,0.46310903149138444,0.41928256144832066,0.3205473988553006,0.2304524261342649,knn,over_smote
1,0.4731182795698925,0.46808510638297873,0.45753032758026374,0.4131701631701632,0.29685774123280945,0.22211638032695843,knn,over_smote
2,0.6935483870967742,0.2765957446808511,0.6731746031746032,0.2501444652474401,0.567846661484125,-0.04030946407454057,knn,over_smote
3,0.5882352941176471,0.4782608695652174,0.5585802586691305,0.4317460317460317,0.40746689856033763,0.20962331710477855,knn,over_smote
4,0.4919786096256685,0.45652173913043476,0.47490983994580976,0.39309325659173994,0.2999240915061951,0.21664076930581536,knn,over_smote
0,0.989247311827957,0.5106382978723404,0.9909611992945325,0.3976872800402212,0.9807373653686827,0.16622924913642137,lgbm,over_smote
1,0.7526881720430108,0.5106382978723404,0.7171068442090291,0.44243338360985424,0.5995673096283369,0.1882715793324778,lgbm,over_smote
2,0.7311827956989247,0.5531914893617021,0.7107325117336534,0.5349936143039592,0.5697158808880064,0.3269975044885086,lgbm,over_smote
3,0.983957219251337,0.6086956521739131,0.9769640852974186,0.5268724985706117,0.971733570007716,0.30333306848914426,lgbm,over_smote
4,1.0,0.6304347826086957,1.0,0.5134770889487871,1.0,0.3249376649435126,lgbm,over_smote
0,0.7365591397849462,0.48936170212765956,0.732996632996633,0.39111111111111113,0.5647262804102215,0.114022293537793,mlp,over_smote
1,0.6344086021505376,0.6170212765957447,0.5932328965501132,0.5569910282953762,0.4093258321397293,0.401684510545301,mlp,over_smote
2,0.7150537634408602,0.40425531914893614,0.7073866483414223,0.34033613445378147,0.5281302901833641,0.02791213802289828,mlp,over_smote
3,0.7058823529411765,0.5217391304347826,0.7010208690168809,0.45457157221863104,0.5003079200238362,0.1800812185737837,mlp,over_smote
4,0.6737967914438503,0.5869565217391305,0.6456697819314642,0.46645021645021645,0.43928831513034516,0.26309854479854206,mlp,over_smote
0,0.8655913978494624,0.5319148936170213,0.8599439775910365,0.44345206450469604,0.7733698122505104,0.2551600730373659,rf,over_smote
1,0.7311827956989247,0.5531914893617021,0.7101754355878721,0.503019943019943,0.5681277711925449,0.27389259552422074,rf,over_smote
2,0.8440860215053764,0.3829787234042553,0.840388834582383,0.32987879329342745,0.7461668830994439,0.05445612754550497,rf,over_smote
3,0.8502673796791443,0.6304347826086957,0.842723796671165,0.5547605083088955,0.7436795652676605,0.36684369426315283,rf,over_smote
4,0.8663101604278075,0.5652173913043478,0.8432601110619687,0.4518196856906534,0.7783147112301412,0.28271061391275826,rf,over_smote
